Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
W,5.0,6.472245700200863e-15,0.011466791825766265,7.508180935420851e-09,-3.895013075925678,-2.9244462919880102e-08,15,14,hbr,True,S15_D14 hbr,201,1,1,trained,True
constant,5.0,6.472245700200863e-15,0.004687955784249829,1.6339715553605228e-09,-4.846554798426707,-7.919132682125293e-09,15,14,hbr,True,S15_D14 hbr,201,1,1,trained,True
A,5.0,8.323889084849038e-15,0.0048793973760139385,8.685578394845464e-09,-4.800989011039684,-4.169936642817677e-08,15,25,hbo,True,S15_D25 hbo,201,1,1,trained,True
AV,5.0,8.323889084849038e-15,0.1879305445515895,8.743893615714099e-09,-1.524350232651311,-1.33287562673921e-08,15,25,hbo,False,S15_D25 hbo,201,1,1,trained,True
V,5.0,8.323889084849038e-15,0.3815414854706721,8.68974616047553e-09,0.9591324615076084,8.334617624773185e-09,15,25,hbo,False,S15_D25 hbo,201,1,1,trained,True
W,5.0,8.323889084849038e-15,0.09133080848049602,8.514720064489726e-09,2.0862758794302407,1.776405509064562e-08,15,25,hbo,False,S15_D25 hbo,201,1,1,trained,True
constant,5.0,8.323889084849038e-15,0.11964231358287332,1.8530201265659674e-09,1.8750016317196658,3.4744157609205708e-09,15,25,hbo,False,S15_D25 hbo,201,1,1,trained,True
A,5.0,7.515802116347272e-15,0.35119094439555126,8.253217126457024e-09,1.0277568373127157,8.48230033154261e-09,15,25,hbr,False,S15_D25 hbr,201,1,1,trained,True
AV,5.0,7.515802116347272e-15,0.0042862103092512534,8.308629461448066e-09,-4.94965571802504,-4.1124855322807726e-08,15,25,hbr,True,S15_D25 hbr,201,1,1,trained,True
V,5.0,7.515802116347272e-15,0.0005911620274787268,8.257177423988566e-09,7.695058719916119,6.353946513835774e-08,15,25,hbr,True,S15_D25 hbr,201,1,1,trained,True
W,5.0,7.515802116347272e-15,0.0910396836885008,8.090863989545993e-09,-2.0887896488194153,-1.690011295136943e-08,15,25,hbr,False,S15_D25 hbr,201,1,1,trained,True
constant,5.0,7.515802116347272e-15,0.09758652744946389,1.760778240551003e-09,2.0342065757397187,3.5817866753482625e-09,15,25,hbr,False,S15_D25 hbr,201,1,1,trained,True
A,5.0,1.5134714966091253e-14,0.26631217382610056,1.1711775133633837e-08,1.2509059467667833,1.4650329161857907e-08,16,14,hbo,False,S16_D14 hbo,201,1,1,trained,True
AV,5.0,1.5134714966091253e-14,4.522259748900286e-05,1.1790408325648653e-08,13.161052249683436,1.5517418001896454e-07,16,14,hbo,True,S16_D14 hbo,201,1,1,trained,True
V,5.0,1.5134714966091253e-14,0.00017318686472806127,1.1717395016576577e-08,9.972895968656383,1.1685636152397094e-07,16,14,hbo,True,S16_D14 hbo,201,1,1,trained,True
W,5.0,1.5134714966091253e-14,0.005018357635000017,1.1481386982854829e-08,4.7692002598059515,5.475703378156392e-08,16,14,hbo,True,S16_D14 hbo,201,1,1,trained,True
constant,5.0,1.5134714966091253e-14,0.0009985490804404016,2.4986424684529543e-09,-6.871000697914707,-1.7168174144579575e-08,16,14,hbo,True,S16_D14 hbo,201,1,1,trained,True
A,5.0,9.664157022979825e-15,3.281330587605978e-05,9.358744503613427e-09,14.053865307902457,1.3152653470485554e-07,16,14,hbr,True,S16_D14 hbr,201,1,1,trained,True
AV,5.0,9.664157022979825e-15,0.003805181245248939,9.421579380920528e-09,5.089054733530589,4.7946933145807816e-08,16,14,hbr,True,S16_D14 hbr,201,1,1,trained,True
V,5.0,9.664157022979825e-15,0.10179810255239033,9.36323528729064e-09,-2.001086787989255,-1.8736646426232075e-08,16,14,hbr,False,S16_D14 hbr,201,1,1,trained,True
W,5.0,9.664157022979825e-15,0.007664898929808073,9.174643988089635e-09,4.306930254188132,3.951455176370851e-08,16,14,hbr,True,S16_D14 hbr,201,1,1,trained,True
constant,5.0,9.664157022979825e-15,0.160136114925282,1.9966363938268097e-09,-1.6486406749434956,-3.291735971935379e-09,16,14,hbr,False,S16_D14 hbr,201,1,1,trained,True
A,5.0,4.642117796450835e-15,0.6709352467515708,6.486249953254295e-09,0.4509110822403059,2.924721986103028e-09,16,25,hbo,False,S16_D25 hbo,201,1,1,trained,True
AV,5.0,4.642117796450835e-15,0.9960794205549359,6.529798820288604e-09,0.005164029586848945,3.372007430414169e-11,16,25,hbo,False,S16_D25 hbo,201,1,1,trained,True
V,5.0,4.642117796450835e-15,4.859562425848556e-05,6.489362373451807e-09,12.968384744499483,8.415654800540138e-08,16,25,hbo,True,S16_D25 hbo,201,1,1,trained,True
W,5.0,4.642117796450835e-15,8.34544090565989e-05,6.358655705997174e-09,11.603259823325484,7.378113428375634e-08,16,25,hbo,True,S16_D25 hbo,201,1,1,trained,True
constant,5.0,4.642117796450835e-15,0.0015656024687501105,1.3838055639968257e-09,-6.224255707353542,-8.61315967957483e-09,16,25,hbo,True,S16_D25 hbo,201,1,1,trained,True
A,5.0,1.6407399217852322e-15,0.00025116852357459917,3.856163813377124e-09,-9.22645518466815,-3.557872260886308e-08,16,25,hbr,True,S16_D25 hbr,201,1,1,trained,True
