Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
W,5.0,2.5551673661374316e-14,0.0011335360904998813,1.491821658912346e-08,-6.683299786029526,-9.970291373803094e-08,19,4,hbr,True,S19_D4 hbr,201,1,1,trained,True
constant,5.0,2.5551673661374316e-14,0.0003176286500879344,3.2465841956922533e-09,8.78157258002552,2.8510114751635298e-08,19,4,hbr,True,S19_D4 hbr,201,1,1,trained,True
A,5.0,2.7843068490044986e-14,0.0019306097985669255,1.5885253510171595e-08,5.940252827590234,9.43624220807845e-08,19,6,hbo,True,S19_D6 hbo,201,1,1,trained,True
AV,5.0,2.7843068490044986e-14,5.72608372200375e-05,1.599190755494421e-08,-12.53889772596023,-2.0052089327445615e-07,19,6,hbo,True,S19_D6 hbo,201,1,1,trained,True
V,5.0,2.7843068490044986e-14,0.005469172692293289,1.5892876032310577e-08,4.672726198607612,7.426305820740063e-08,19,6,hbo,True,S19_D6 hbo,201,1,1,trained,True
W,5.0,2.7843068490044986e-14,0.0015345717219837293,1.557276679153967e-08,6.251945055800354,9.736008234749839e-08,19,6,hbo,True,S19_D6 hbo,201,1,1,trained,True
constant,5.0,2.7843068490044986e-14,0.06363446898444224,3.3890310042471693e-09,-2.3740235219900083,-8.0456393208362e-09,19,6,hbo,False,S19_D6 hbo,201,1,1,trained,True
A,5.0,6.026235963808777e-15,1.1275922655506143e-05,7.390242147911317e-09,-17.466416376659353,-1.2908104647975642e-07,19,6,hbr,True,S19_D6 hbr,201,1,1,trained,True
AV,5.0,6.026235963808777e-15,0.005387835972442404,7.4398604443029426e-09,-4.689432057000389,-3.4888720067123376e-08,19,6,hbr,True,S19_D6 hbr,201,1,1,trained,True
V,5.0,6.026235963808777e-15,0.00019326812170573413,7.393788347809784e-09,-9.747078077529526,-7.206783231482999e-08,19,6,hbr,True,S19_D6 hbr,201,1,1,trained,True
W,5.0,6.026235963808777e-15,0.00013140208245589148,7.244865020802996e-09,-10.56270003774797,-7.652533602871474e-08,19,6,hbr,True,S19_D6 hbr,201,1,1,trained,True
constant,5.0,6.026235963808777e-15,9.884053137594452e-05,1.5766673004071626e-09,11.20470270311622,1.7666088362787086e-08,19,6,hbr,True,S19_D6 hbr,201,1,1,trained,True
A,5.0,5.6719329299191785e-14,0.00010452533410814696,2.267259057607966e-08,11.075823761796453,2.5111761744402544e-07,19,8,hbo,True,S19_D8 hbo,201,1,1,trained,True
AV,5.0,5.6719329299191785e-14,0.0001317682532022806,2.282481499534146e-08,-10.556598257678344,-2.409524022116522e-07,19,8,hbo,True,S19_D8 hbo,201,1,1,trained,True
V,5.0,5.6719329299191785e-14,0.01228707978898383,2.2683469994749534e-08,-3.826846878653395,-8.680616634643519e-08,19,8,hbo,True,S19_D8 hbo,201,1,1,trained,True
W,5.0,5.6719329299191785e-14,0.007163511307683224,2.2226586775922008e-08,4.37867374596809,9.732297197821122e-08,19,8,hbo,True,S19_D8 hbo,201,1,1,trained,True
constant,5.0,5.6719329299191785e-14,0.075964330338928,4.837071838969106e-09,-2.2321006279594364,-1.0796831089247848e-08,19,8,hbo,False,S19_D8 hbo,201,1,1,trained,True
A,5.0,1.7061225298065728e-14,0.00031626159355013577,1.2434854592584725e-08,-8.789569258889513,-1.0929701566574377e-07,19,8,hbr,True,S19_D8 hbr,201,1,1,trained,True
AV,5.0,1.7061225298065728e-14,0.4374696909216784,1.2518342560693592e-08,0.8434221878385241,1.05582478706523e-08,19,8,hbr,False,S19_D8 hbr,201,1,1,trained,True
V,5.0,1.7061225298065728e-14,0.0032311944372279506,1.2440821444443041e-08,-5.28516363451847,-6.57517770817079e-08,19,8,hbr,True,S19_D8 hbr,201,1,1,trained,True
W,5.0,1.7061225298065728e-14,0.00047275707189963796,1.219024238631343e-08,-8.071493657174754,-9.839346410055167e-08,19,8,hbr,True,S19_D8 hbr,201,1,1,trained,True
constant,5.0,1.7061225298065728e-14,0.0016814281407022329,2.6529074729963003e-09,6.1263399092264414,1.62526129273023e-08,19,8,hbr,True,S19_D8 hbr,201,1,1,trained,True
A,5.0,1.61133696895498e-14,0.006675243639848267,1.2084502832135203e-08,-4.454365087020617,-5.382878750946481e-08,20,3,hbo,True,S20_D3 hbo,201,1,1,trained,True
AV,5.0,1.61133696895498e-14,0.11168633071414698,1.2165638528539925e-08,1.9286291841330905,2.3463005509756046e-08,20,3,hbo,False,S20_D3 hbo,201,1,1,trained,True
V,5.0,1.61133696895498e-14,0.00529118533998618,1.2090301568070866e-08,4.709669031381223,5.6941318875203194e-08,20,3,hbo,True,S20_D3 hbo,201,1,1,trained,True
W,5.0,1.61133696895498e-14,0.03283935618788803,1.184678256950961e-08,-2.924561159315945,-3.4646640165648956e-08,20,3,hbo,True,S20_D3 hbo,201,1,1,trained,True
constant,5.0,1.61133696895498e-14,0.4462681386443433,2.578161862056209e-09,0.826280026997559,2.1302836529838813e-09,20,3,hbo,False,S20_D3 hbo,201,1,1,trained,True
A,5.0,4.1153280146060485e-15,0.0005162645500183281,6.107139362203678e-09,7.921343049134315,4.837674593688667e-08,20,3,hbr,True,S20_D3 hbr,201,1,1,trained,True
AV,5.0,4.1153280146060485e-15,9.333656430441872e-06,6.148142869925604e-09,-18.148700232243076,-1.1158080193128244e-07,20,3,hbr,True,S20_D3 hbr,201,1,1,trained,True
V,5.0,4.1153280146060485e-15,2.2864257226523742e-05,6.110069866584011e-09,-15.128844499447974,-9.243829689231232e-08,20,3,hbr,True,S20_D3 hbr,201,1,1,trained,True
W,5.0,4.1153280146060485e-15,1.428664582669109e-05,5.987002787845523e-09,16.647371117358702,9.966785728992559e-08,20,3,hbr,True,S20_D3 hbr,201,1,1,trained,True
constant,5.0,4.1153280146060485e-15,0.4278011692518975,1.3029244155602383e-09,0.8625649093325232,1.1238568803748477e-09,20,3,hbr,False,S20_D3 hbr,201,1,1,trained,True
A,5.0,6.559158803716225e-14,0.012747466160036908,2.4381458134704823e-08,-3.79083852953129,-9.242617090319313e-08,20,5,hbo,True,S20_D5 hbo,201,1,1,trained,True
AV,5.0,6.559158803716225e-14,0.9997918375924937,2.4545155939455335e-08,0.00027418169412845564,6.729832438126989e-12,20,5,hbo,False,S20_D5 hbo,201,1,1,trained,True
V,5.0,6.559158803716225e-14,0.0042118107240564735,2.4393157551669967e-08,4.969986568588546,1.21233665397264e-07,20,5,hbo,True,S20_D5 hbo,201,1,1,trained,True
W,5.0,6.559158803716225e-14,0.000396231355638012,2.390183835129394e-08,8.380229639107608,2.003028941806724e-07,20,5,hbo,True,S20_D5 hbo,201,1,1,trained,True
constant,5.0,6.559158803716225e-14,0.06571128379379555,5.20164928399537e-09,-2.3481468267177905,-1.2214236259912596e-08,20,5,hbo,False,S20_D5 hbo,201,1,1,trained,True
A,5.0,4.2789349049604025e-14,0.1016168742744303,1.9692617344747525e-08,2.002482233730676,3.9434116368513474e-08,20,5,hbr,False,S20_D5 hbr,201,1,1,trained,True
AV,5.0,4.2789349049604025e-14,0.002132200614512027,1.9824834138809503e-08,-5.80929436566715,-1.1516829726287181e-07,20,5,hbr,True,S20_D5 hbr,201,1,1,trained,True
V,5.0,4.2789349049604025e-14,0.003953524422392755,1.970206682640602e-08,-5.043965398121736,-9.937654334387408e-08,20,5,hbr,True,S20_D5 hbr,201,1,1,trained,True
W,5.0,4.2789349049604025e-14,0.6862016411061884,1.9305234079419472e-08,-0.4283792115263382,-8.269960953273106e-09,20,5,hbr,False,S20_D5 hbr,201,1,1,trained,True
constant,5.0,4.2789349049604025e-14,0.026311508992487236,4.201311026820624e-09,3.118004478151383,1.3099706595733489e-08,20,5,hbr,True,S20_D5 hbr,201,1,1,trained,True
A,5.0,1.859347403874577e-14,0.0006681183042981163,1.298123084595251e-08,-7.495491660958881,-9.730070755481923e-08,20,6,hbo,True,S20_D6 hbo,201,1,1,trained,True
AV,5.0,1.859347403874577e-14,0.015528093678471909,1.3068387199797373e-08,-3.60092614573239,-4.7058297150304854e-08,20,6,hbo,True,S20_D6 hbo,201,1,1,trained,True
V,5.0,1.859347403874577e-14,0.00039020865815717363,1.2987459875879617e-08,8.407494766515596,1.0919200093678917e-07,20,6,hbo,True,S20_D6 hbo,201,1,1,trained,True
W,5.0,1.859347403874577e-14,0.00024607775909733033,1.2725870600788165e-08,9.26620776815366,1.1792056101754159e-07,20,6,hbo,True,S20_D6 hbo,201,1,1,trained,True
constant,5.0,1.859347403874577e-14,0.08362057906760975,2.769473825649229e-09,-2.1558856839009692,-5.970668972655622e-09,20,6,hbo,False,S20_D6 hbo,201,1,1,trained,True
A,5.0,3.153088193670213e-15,0.4221063886653536,5.345688661546254e-09,0.8739961256724715,4.672111179242686e-09,20,6,hbr,False,S20_D6 hbr,201,1,1,trained,True
AV,5.0,3.153088193670213e-15,1.3378553809082865e-05,5.38157976756379e-09,-16.870841988322617,-9.079178190612266e-08,20,6,hbr,True,S20_D6 hbr,201,1,1,trained,True
V,5.0,3.153088193670213e-15,4.341122795566895e-06,5.348253784611155e-09,-21.187433526220204,-1.1331577154280448e-07,20,6,hbr,True,S20_D6 hbr,201,1,1,trained,True
W,5.0,3.153088193670213e-15,0.1984553216934391,5.240530962450999e-09,-1.4819268118073152,-7.76608334136253e-09,20,6,hbr,False,S20_D6 hbr,201,1,1,trained,True
constant,5.0,3.153088193670213e-15,0.0002652521662832816,1.140473118759633e-09,9.121292299998462,1.0402588676497473e-08,20,6,hbr,True,S20_D6 hbr,201,1,1,trained,True
A,5.0,3.86098765157977e-14,0.002467565134625463,1.8706167056827727e-08,-5.620784580312072,-1.0514333534975894e-07,20,7,hbo,True,S20_D7 hbo,201,1,1,trained,True
AV,5.0,3.86098765157977e-14,0.18340725871464517,1.8831760795544295e-08,-1.5432953327567085,-2.9062968543354268e-08,20,7,hbo,False,S20_D7 hbo,201,1,1,trained,True
V,5.0,3.86098765157977e-14,0.00012828125973027085,1.87151431913562e-08,10.615541722604979,1.9867138339236822e-07,20,7,hbo,True,S20_D7 hbo,201,1,1,trained,True
W,5.0,3.86098765157977e-14,0.009758091355179702,1.8338188745494786e-08,4.056978428394209,7.43976361562938e-08,20,7,hbo,True,S20_D7 hbo,201,1,1,trained,True
constant,5.0,3.86098765157977e-14,0.4224085098611811,3.99085731213687e-09,-0.8733866879961035,-3.485561650112253e-09,20,7,hbo,False,S20_D7 hbo,201,1,1,trained,True
A,5.0,7.796502879363892e-15,0.012424135727055413,8.405925255942568e-09,3.815967638669777,3.20767387497538e-08,20,7,hbr,True,S20_D7 hbr,201,1,1,trained,True
AV,5.0,7.796502879363892e-15,0.003935716350288708,8.462362877666922e-09,-5.049272896983677,-4.2728779522644386e-08,20,7,hbr,True,S20_D7 hbr,201,1,1,trained,True
V,5.0,7.796502879363892e-15,6.0275107162354946e-05,8.409958830308947e-09,-12.407405596269987,-1.0434577025557542e-07,20,7,hbr,True,S20_D7 hbr,201,1,1,trained,True
W,5.0,7.796502879363892e-15,0.5889042176889734,8.240568121502582e-09,-0.5770629278935359,-4.7553263677004144e-09,20,7,hbr,False,S20_D7 hbr,201,1,1,trained,True
constant,5.0,7.796502879363892e-15,0.13873722868134072,1.7933576756286816e-09,1.7599222337161402,3.1561700463444145e-09,20,7,hbr,False,S20_D7 hbr,201,1,1,trained,True
A,5.0,2.0902389135060627e-14,0.00026192355796225534,1.3763648296283504e-08,-9.145537447849861,-1.2587596091269573e-07,21,6,hbo,True,S21_D6 hbo,201,1,1,trained,True
AV,5.0,2.0902389135060627e-14,0.0001799681403933184,1.3856057823187585e-08,-9.89329694170823,-1.3708209448627416e-07,21,6,hbo,True,S21_D6 hbo,201,1,1,trained,True
V,5.0,2.0902389135060627e-14,0.0010602562390902546,1.3770252768398754e-08,6.781694496538087,9.338564741538819e-08,21,6,hbo,True,S21_D6 hbo,201,1,1,trained,True
W,5.0,2.0902389135060627e-14,0.026314859525413882,1.3492896728500499e-08,3.117891834913298,4.2069392539120057e-08,21,6,hbo,True,S21_D6 hbo,201,1,1,trained,True
constant,5.0,2.0902389135060627e-14,0.046239638014622615,2.9363982625641247e-09,2.635254358147939,7.738156318680145e-09,21,6,hbo,True,S21_D6 hbo,201,1,1,trained,True
A,5.0,2.2168773836986114e-15,0.00015432605772455329,4.482356952327369e-09,-10.215403063390104,-4.578908294201294e-08,21,6,hbr,True,S21_D6 hbr,201,1,1,trained,True
AV,5.0,2.2168773836986114e-15,1.949963767048162e-05,4.512451624645582e-09,-15.62722834000191,-7.051711191154909e-08,21,6,hbr,True,S21_D6 hbr,201,1,1,trained,True
V,5.0,2.2168773836986114e-15,3.58799122591273e-05,4.484507806582358e-09,-13.799536455958389,-6.188412896396324e-08,21,6,hbr,True,S21_D6 hbr,201,1,1,trained,True
W,5.0,2.2168773836986114e-15,0.0003671770595036355,4.394182280461233e-09,-8.516570796788313,-3.742336448554081e-08,21,6,hbr,True,S21_D6 hbr,201,1,1,trained,True
constant,5.0,2.2168773836986114e-15,5.993405347469391e-05,9.562860720990919e-10,12.421884984488857,1.1878875599883538e-08,21,6,hbr,True,S21_D6 hbr,201,1,1,trained,True
A,5.0,1.9219879870606978e-14,8.945461021034407e-05,1.3198085474477947e-08,-11.438139525508934,-1.5096154312667154e-07,21,7,hbo,True,S21_D7 hbo,201,1,1,trained,True
AV,5.0,1.9219879870606978e-14,0.0011026587320129065,1.3286697796478753e-08,-6.723816056835176,-8.933731198628039e-08,21,7,hbo,True,S21_D7 hbo,201,1,1,trained,True
V,5.0,1.9219879870606978e-14,0.22172868578798957,1.3204418561869784e-08,1.3953067236443069,1.84242140011906e-08,21,7,hbo,False,S21_D7 hbo,201,1,1,trained,True
W,5.0,1.9219879870606978e-14,0.16052262231713973,1.2938459374113704e-08,-1.646770507699945,-2.130667331236434e-08,21,7,hbo,False,S21_D7 hbo,201,1,1,trained,True
constant,5.0,1.9219879870606978e-14,0.004819796848745385,2.8157385616206518e-09,4.814948151587036,1.3557635182627698e-08,21,7,hbo,True,S21_D7 hbo,201,1,1,trained,True
A,5.0,1.5607361375878926e-15,0.0765207337220444,3.760974123054823e-09,2.2262915023620575,8.373024730760544e-09,21,7,hbr,False,S21_D7 hbr,201,1,1,trained,True
AV,5.0,1.5607361375878926e-15,0.059119314067602076,3.786225410498998e-09,-2.4335798002741873,-9.214081678275205e-09,21,7,hbr,False,S21_D7 hbr,201,1,1,trained,True
V,5.0,1.5607361375878926e-15,0.0002560134082518809,3.762778822520197e-09,-9.189503230306816,-3.4578068144479424e-08,21,7,hbr,True,S21_D7 hbr,201,1,1,trained,True
W,5.0,1.5607361375878926e-15,0.024185895401758608,3.6869901314351466e-09,-3.192918344253515,-1.1772258425740958e-08,21,7,hbr,True,S21_D7 hbr,201,1,1,trained,True
constant,5.0,1.5607361375878926e-15,0.058005740498938384,8.023830341166787e-10,2.4490275227810576,1.9650581343643186e-09,21,7,hbr,False,S21_D7 hbr,201,1,1,trained,True
A,5.0,1.8154910868667483e-14,0.00013360776907100731,1.2827223525131163e-08,-10.526247957784658,-1.3502253543545923e-07,21,8,hbo,True,S21_D8 hbo,201,1,1,trained,True
AV,5.0,1.8154910868667483e-14,7.530915069789005e-05,1.291334586943506e-08,-11.851606737665694,-1.53043896912004e-07,21,8,hbo,True,S21_D8 hbo,201,1,1,trained,True
V,5.0,1.8154910868667483e-14,0.09054486943155547,1.283337865480784e-08,2.0930817135822855,2.6861310185855524e-08,21,8,hbo,False,S21_D8 hbo,201,1,1,trained,True
W,5.0,1.8154910868667483e-14,0.26268259641774167,1.257489283453439e-08,1.261793849026898,1.5866922430787908e-08,21,8,hbo,False,S21_D8 hbo,201,1,1,trained,True
constant,5.0,1.8154910868667483e-14,0.004101741702901716,2.736617215283497e-09,5.000846554923981,1.3685402773196135e-08,21,8,hbo,True,S21_D8 hbo,201,1,1,trained,True
A,5.0,1.8395117178978485e-15,0.019422812695744075,4.0830705267759425e-09,-3.391821719975573,-1.3849047296910747e-08,21,8,hbr,True,S21_D8 hbr,201,1,1,trained,True
AV,5.0,1.8395117178978485e-15,0.644018261619007,4.110484378653954e-09,-0.4913007952673286,-2.0194842441666188e-09,21,8,hbr,False,S21_D8 hbr,201,1,1,trained,True
V,5.0,1.8395117178978485e-15,0.17944817439599092,4.085029783860851e-09,1.5602550322555124,6.373688277182542e-09,21,8,hbr,False,S21_D8 hbr,201,1,1,trained,True
W,5.0,1.8395117178978485e-15,0.00029105815557979744,4.002750416678994e-09,-8.944816205474421,-3.580386679357975e-08,21,8,hbr,True,S21_D8 hbr,201,1,1,trained,True
constant,5.0,1.8395117178978485e-15,0.010418086791734511,8.711005209272241e-10,3.990809930164953,3.4763966090882295e-09,21,8,hbr,True,S21_D8 hbr,201,1,1,trained,True
A,5.0,1.0029169334321125e-14,1.9166621417123644e-06,9.533844940727734e-09,-24.984261940176236,-2.3819607929616567e-07,21,10,hbo,True,S21_D10 hbo,201,1,1,trained,True
AV,5.0,1.0029169334321125e-14,1.3888835126152334e-05,9.597855447359716e-09,-16.743112424133965,-1.6069797278573032e-07,21,10,hbo,True,S21_D10 hbo,201,1,1,trained,True
V,5.0,1.0029169334321125e-14,0.002309434791723075,9.538419746164977e-09,-5.705655039114823,-5.442293268989853e-08,21,10,hbo,True,S21_D10 hbo,201,1,1,trained,True
W,5.0,1.0029169334321125e-14,0.0002754695423532168,9.346299937460023e-09,-9.049073384957486,-8.457535401189932e-08,21,10,hbo,True,S21_D10 hbo,201,1,1,trained,True
constant,5.0,1.0029169334321125e-14,2.4927787112171953e-05,2.0339931039263775e-09,14.864754691499225,3.023480853406669e-08,21,10,hbo,True,S21_D10 hbo,201,1,1,trained,True
A,5.0,5.994342643471887e-16,1.0555321774478744e-05,2.3308073785439293e-09,17.701876261743895,4.125966380494429e-08,21,10,hbr,True,S21_D10 hbr,201,1,1,trained,True
AV,5.0,5.994342643471887e-16,1.3575194876052342e-05,2.346456485707903e-09,16.82094049432065,3.946960491860538e-08,21,10,hbr,True,S21_D10 hbr,201,1,1,trained,True
V,5.0,5.994342643471887e-16,0.02724724822734357,2.3319258140056788e-09,-3.0871564056694383,-7.1990197142535505e-09,21,10,hbr,True,S21_D10 hbr,201,1,1,trained,True
W,5.0,5.994342643471887e-16,0.008826057325515484,2.2849569079160674e-09,4.1597690155462645,9.504892947407657e-09,21,10,hbr,True,S21_D10 hbr,201,1,1,trained,True
constant,5.0,5.994342643471887e-16,0.00013030900102280275,4.972648667996055e-10,-10.581036175939321,-5.261577544630274e-09,21,10,hbr,True,S21_D10 hbr,201,1,1,trained,True
A,5.0,8.102911731346776e-14,0.0006809583332133427,2.7099180407303093e-08,-7.464853241633169,-2.0229140470905856e-07,22,5,hbo,True,S22_D5 hbo,201,1,1,trained,True
AV,5.0,8.102911731346776e-14,0.001951021006957654,2.7281125076842738e-08,-5.926276679113074,-1.6167549532286e-07,22,5,hbo,True,S22_D5 hbo,201,1,1,trained,True
V,5.0,8.102911731346776e-14,0.05274168312564032,2.7112183920433726e-08,2.5267013569686925,6.850439190214466e-08,22,5,hbo,False,S22_D5 hbo,201,1,1,trained,True
W,5.0,8.102911731346776e-14,0.3133661542378408,2.656609895804134e-08,1.1206268379162068,2.9770683471118905e-08,22,5,hbo,False,S22_D5 hbo,201,1,1,trained,True
constant,5.0,8.102911731346776e-14,0.04415695968700988,5.781460304126147e-09,2.6736099971804053,1.5457370067413333e-08,22,5,hbo,True,S22_D5 hbo,201,1,1,trained,True
A,5.0,5.2533747630102975e-14,0.0002592543258067466,2.1820002394767143e-08,9.165246206618098,1.9998569417703735e-07,22,5,hbr,True,S22_D5 hbr,201,1,1,trained,True
AV,5.0,5.2533747630102975e-14,0.3246531826492706,2.1966502512682157e-08,-1.0919533387253475,-2.3986395758842018e-08,22,5,hbr,False,S22_D5 hbr,201,1,1,trained,True
V,5.0,5.2533747630102975e-14,0.13059382080956938,2.1830472699897636e-08,-1.8068917996862723,-3.944530210472008e-08,22,5,hbr,False,S22_D5 hbr,201,1,1,trained,True
W,5.0,5.2533747630102975e-14,0.10504735421522178,2.1390770280560373e-08,1.9764983615616778,4.22788224120698e-08,22,5,hbr,False,S22_D5 hbr,201,1,1,trained,True
constant,5.0,5.2533747630102975e-14,0.08210869464999299,4.655176864584677e-09,-2.1703312521569305,-1.0103275833526035e-08,22,5,hbr,False,S22_D5 hbr,201,1,1,trained,True
A,5.0,2.440263132008779e-14,3.7466494172133034e-05,1.4871471100564256e-08,-13.677951936556095,-2.034112669394009e-07,22,7,hbo,True,S22_D7 hbo,201,1,1,trained,True
AV,5.0,2.440263132008779e-14,0.03399502320057042,1.4971318581347525e-08,-2.8948255748672405,-4.333935591876995e-08,22,7,hbo,True,S22_D7 hbo,201,1,1,trained,True
V,5.0,2.440263132008779e-14,0.0013773204009781025,1.487860716028346e-08,6.403205981691468,9.527078636796457e-08,22,7,hbo,True,S22_D7 hbo,201,1,1,trained,True
W,5.0,2.440263132008779e-14,0.21008019408259423,1.457892699968043e-08,1.4375163802468827,2.0957446368464153e-08,22,7,hbo,False,S22_D7 hbo,201,1,1,trained,True
constant,5.0,2.440263132008779e-14,0.042794610058751105,3.1727461325251216e-09,2.6997937261416465,8.565760103231497e-09,22,7,hbo,True,S22_D7 hbo,201,1,1,trained,True
A,5.0,7.072015137140351e-15,0.0007587705524120528,8.005845284954489e-09,7.292740273806384,5.838455033545055e-08,22,7,hbr,True,S22_D7 hbr,201,1,1,trained,True
AV,5.0,7.072015137140351e-15,0.0015326697579323896,8.059596758351965e-09,-6.253663645242933,-5.0402007243023476e-08,22,7,hbr,True,S22_D7 hbr,201,1,1,trained,True
V,5.0,7.072015137140351e-15,0.0069908906734294455,8.009686881368847e-09,-4.404730892479191,-3.5280515245450664e-08,22,7,hbr,True,S22_D7 hbr,201,1,1,trained,True
W,5.0,7.072015137140351e-15,0.08261146259109166,7.84835832251046e-09,-2.1654963460367918,-1.6995591269783846e-08,22,7,hbr,False,S22_D7 hbr,201,1,1,trained,True
constant,5.0,7.072015137140351e-15,0.18008401746432715,1.7080028259255456e-09,1.5575067485559626,2.6602259279316923e-09,22,7,hbr,False,S22_D7 hbr,201,1,1,trained,True
A,5.0,3.329479499467069e-14,0.012785480288359699,1.7370958181893735e-08,-3.7879321695991037,-6.580001131395604e-08,22,9,hbo,True,S22_D9 hbo,201,1,1,trained,True
AV,5.0,3.329479499467069e-14,0.08285865411890597,1.748758729017259e-08,-2.1631306556415364,-3.782793616057964e-08,22,9,hbo,False,S22_D9 hbo,201,1,1,trained,True
V,5.0,3.329479499467069e-14,0.0003882424077492936,1.7379293617852127e-08,8.416504542580897,1.4627290368149962e-07,22,9,hbo,True,S22_D9 hbo,201,1,1,trained,True
W,5.0,3.329479499467069e-14,0.16055919546082428,1.7029245428094966e-08,1.6465937755739097,2.804024952462163e-08,22,9,hbo,False,S22_D9 hbo,201,1,1,trained,True
constant,5.0,3.329479499467069e-14,0.6283246868954351,3.705997881256538e-09,0.5152754107065344,1.9096095803420088e-09,22,9,hbo,False,S22_D9 hbo,201,1,1,trained,True
A,5.0,7.477455381256066e-15,0.0021664677381205105,8.23213563402339e-09,-5.788484301136821,-4.7651587882373405e-08,22,9,hbr,True,S22_D9 hbr,201,1,1,trained,True
AV,5.0,7.477455381256066e-15,0.00020825121513550244,8.287406427273444e-09,-9.596073070787096,-7.95265576434266e-08,22,9,hbr,True,S22_D9 hbr,201,1,1,trained,True
V,5.0,7.477455381256066e-15,0.0006772719098832943,8.236085815623027e-09,-7.473579128058117,-6.155303904853577e-08,22,9,hbr,True,S22_D9 hbr,201,1,1,trained,True
W,5.0,7.477455381256066e-15,0.806784435787286,8.070197201629995e-09,-0.25787004984617573,-2.0810621546527947e-09,22,9,hbr,False,S22_D9 hbr,201,1,1,trained,True
constant,5.0,7.477455381256066e-15,0.00023796499283657512,1.7562806207032848e-09,9.331625528817815,1.6388953075922773e-08,22,9,hbr,True,S22_D9 hbr,201,1,1,trained,True
A,5.0,1.7226617621069537e-14,0.05987650372316528,1.2494981259898614e-08,-2.4232551959812065,-3.027852826173712e-08,23,8,hbo,False,S23_D8 hbo,201,1,1,trained,True
AV,5.0,1.7226617621069537e-14,0.010544354697746519,1.2578872920165345e-08,-3.9787011835339485,-5.004757657498499e-08,23,8,hbo,True,S23_D8 hbo,201,1,1,trained,True
V,5.0,1.7226617621069537e-14,0.01660015921912713,1.2500976963474813e-08,3.537868646102403,4.4226814444725963e-08,23,8,hbo,True,S23_D8 hbo,201,1,1,trained,True
W,5.0,1.7226617621069537e-14,0.04323654527377092,1.2249186272064586e-08,2.691200429741883,3.296501535936858e-08,23,8,hbo,True,S23_D8 hbo,201,1,1,trained,True
constant,5.0,1.7226617621069537e-14,0.7218455678149882,2.6657351650176047e-09,-0.37671158341760436,-1.0042133149857706e-09,23,8,hbo,False,S23_D8 hbo,201,1,1,trained,True
A,5.0,2.0472227515044166e-15,0.8991891769538571,4.307429240553902e-09,0.1332544792320966,5.739842402791156e-10,23,8,hbr,False,S23_D8 hbr,201,1,1,trained,True
AV,5.0,2.0472227515044166e-15,0.00022237827902825378,4.336349443230097e-09,-9.465099755796478,-4.1043980056165385e-08,23,8,hbr,True,S23_D8 hbr,201,1,1,trained,True
V,5.0,2.0472227515044166e-15,0.0004058178034917467,4.309496155930934e-09,-8.337831237718877,-3.593185166775036e-08,23,8,hbr,True,S23_D8 hbr,201,1,1,trained,True
W,5.0,2.0472227515044166e-15,0.00022342185416504847,4.222695658665643e-09,-9.45581973927296,-3.992904896215282e-08,23,8,hbr,True,S23_D8 hbr,201,1,1,trained,True
constant,5.0,2.0472227515044166e-15,0.0005155614546117367,9.18966211995966e-10,7.923648600182225,7.281565339296598e-09,23,8,hbr,True,S23_D8 hbr,201,1,1,trained,True
A,5.0,7.570463650146868e-15,5.348741041994696e-05,8.283175087644041e-09,-12.715668584529485,-1.053261092421126e-07,23,10,hbo,True,S23_D10 hbo,201,1,1,trained,True
AV,5.0,7.570463650146868e-15,0.00042978394428005605,8.338788561240249e-09,-8.236841991103695,-6.868528377615885e-08,23,10,hbo,True,S23_D10 hbo,201,1,1,trained,True
V,5.0,7.570463650146868e-15,0.06315160533688334,8.287149760471656e-09,2.380170624497774,1.9724830420688398e-08,23,10,hbo,False,S23_D10 hbo,201,1,1,trained,True
W,5.0,7.570463650146868e-15,0.03533345983291019,8.12023263278588e-09,-2.8617633779381118,-2.3238184368844605e-08,23,10,hbo,True,S23_D10 hbo,201,1,1,trained,True
constant,5.0,7.570463650146868e-15,0.00252539892041549,1.7671696059278177e-09,5.591327237400354,9.880823550730258e-09,23,10,hbo,True,S23_D10 hbo,201,1,1,trained,True
A,5.0,6.395826479138871e-16,0.06518300129350273,2.4075978041056175e-09,-2.3546445314065814,-5.669037003263786e-09,23,10,hbr,False,S23_D10 hbr,201,1,1,trained,True
AV,5.0,6.395826479138871e-16,0.4415568135071545,2.4237624843752215e-09,-0.8354270290130965,-2.024876691354993e-09,23,10,hbr,False,S23_D10 hbr,201,1,1,trained,True
V,5.0,6.395826479138871e-16,0.017749114319745414,2.408753087372064e-09,-3.475243886727785,-8.371004441526443e-09,23,10,hbr,True,S23_D10 hbr,201,1,1,trained,True
W,5.0,6.395826479138871e-16,9.948417582649056e-05,2.3602367508426877e-09,-11.189672186039902,-2.6410275523373613e-08,23,10,hbr,True,S23_D10 hbr,201,1,1,trained,True
constant,5.0,6.395826479138871e-16,0.001282855240036128,5.136476795064508e-10,6.504228907382488,3.3408820852557926e-09,23,10,hbr,True,S23_D10 hbr,201,1,1,trained,True
A,5.0,2.611826943279175e-14,0.9238693126142292,1.5385364901183812e-08,-0.10047813732452,-1.5458928073289972e-09,23,12,hbo,False,S23_D12 hbo,201,1,1,trained,True
