Condition,Chroma,ch_name,subject,day,group,theta
AV,hbo,S13_D24 hbo,201,3,trained,3.96227952649303e-08
V,hbo,S13_D24 hbo,201,1,trained,-4.3176864106003936e-08
V,hbo,S13_D24 hbo,201,3,trained,-1.650664527930149e-08
W,hbo,S13_D24 hbo,201,1,trained,1.2704944628971974e-08
W,hbo,S13_D24 hbo,201,3,trained,2.2934322537167532e-08
constant,hbo,S13_D24 hbo,201,1,trained,2.0440147379112072e-08
constant,hbo,S13_D24 hbo,201,3,trained,1.1903683479295245e-10
A,hbr,S13_D24 hbr,201,1,trained,4.9294001804161236e-08
A,hbr,S13_D24 hbr,201,3,trained,1.9560083892855882e-08
AV,hbr,S13_D24 hbr,201,1,trained,2.990316967310121e-08
AV,hbr,S13_D24 hbr,201,3,trained,2.436420029732259e-08
V,hbr,S13_D24 hbr,201,1,trained,6.232509141549336e-08
V,hbr,S13_D24 hbr,201,3,trained,-1.7096163651859376e-08
W,hbr,S13_D24 hbr,201,1,trained,2.2777394835429452e-08
W,hbr,S13_D24 hbr,201,3,trained,-1.8452118699268443e-08
constant,hbr,S13_D24 hbr,201,1,trained,-7.542650283319581e-09
constant,hbr,S13_D24 hbr,201,3,trained,-2.6572271974747996e-10
A,hbo,S13_D25 hbo,201,1,trained,3.060915592282645e-08
A,hbo,S13_D25 hbo,201,3,trained,-3.766253134457997e-10
AV,hbo,S13_D25 hbo,201,1,trained,-2.6179609398830074e-08
AV,hbo,S13_D25 hbo,201,3,trained,1.2843155276853243e-07
V,hbo,S13_D25 hbo,201,1,trained,6.682743767365593e-08
V,hbo,S13_D25 hbo,201,3,trained,-1.0198164162515707e-09
W,hbo,S13_D25 hbo,201,1,trained,2.0721243508734558e-08
W,hbo,S13_D25 hbo,201,3,trained,4.621085265386953e-09
constant,hbo,S13_D25 hbo,201,1,trained,-4.598438141646325e-09
constant,hbo,S13_D25 hbo,201,3,trained,-6.535566598080513e-09
A,hbr,S13_D25 hbr,201,1,trained,7.45193949493909e-08
A,hbr,S13_D25 hbr,201,3,trained,4.6919073326955014e-08
AV,hbr,S13_D25 hbr,201,1,trained,6.052475567784695e-09
AV,hbr,S13_D25 hbr,201,3,trained,-1.0276417118990453e-07
V,hbr,S13_D25 hbr,201,1,trained,6.281697483769341e-08
V,hbr,S13_D25 hbr,201,3,trained,-2.3373910172061245e-07
W,hbr,S13_D25 hbr,201,1,trained,3.640292422823517e-08
W,hbr,S13_D25 hbr,201,3,trained,-5.3379489364198285e-08
constant,hbr,S13_D25 hbr,201,1,trained,-6.434275207240083e-09
constant,hbr,S13_D25 hbr,201,3,trained,3.31917867724947e-08
A,hbo,S14_D22 hbo,201,1,trained,-6.261488630742666e-08
A,hbo,S14_D22 hbo,201,3,trained,-3.474634183701356e-08
AV,hbo,S14_D22 hbo,201,1,trained,-5.767058270503982e-08
AV,hbo,S14_D22 hbo,201,3,trained,1.1719355448125366e-08
V,hbo,S14_D22 hbo,201,1,trained,-2.9153195270938228e-08
V,hbo,S14_D22 hbo,201,3,trained,-5.640787517344605e-08
W,hbo,S14_D22 hbo,201,1,trained,2.0754087094702588e-08
W,hbo,S14_D22 hbo,201,3,trained,-2.775009273202174e-08
constant,hbo,S14_D22 hbo,201,1,trained,9.98610067465404e-09
constant,hbo,S14_D22 hbo,201,3,trained,7.492193590120466e-09
A,hbr,S14_D22 hbr,201,1,trained,-9.774123014688986e-09
A,hbr,S14_D22 hbr,201,3,trained,-2.4931773679710345e-08
AV,hbr,S14_D22 hbr,201,1,trained,-5.467139342886999e-08
AV,hbr,S14_D22 hbr,201,3,trained,-7.495602674655311e-08
V,hbr,S14_D22 hbr,201,1,trained,-1.093127597726549e-08
V,hbr,S14_D22 hbr,201,3,trained,-8.133209802961116e-09
W,hbr,S14_D22 hbr,201,1,trained,-5.2174803115375366e-08
