index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S15_D25 hbo]:Condition[W],6.418591351389536e-08,4.642524437887309e-08,1.3825649034839476,0.16679831669413026,-2.6805893442166515e-08,1.5517772046995723e-07,S15_D25 hbo,W,False,0.7377806435109127,False
ch_name[S16_D14 hbo]:Condition[W],-7.323409059778829e-08,4.64252443788731e-08,-1.5774626838822885,0.11468910190122074,-1.6422589755385018e-07,1.7757716358273597e-08,S16_D14 hbo,W,False,0.6168129816395813,False
ch_name[S16_D25 hbo]:Condition[W],3.0671637613296963e-08,4.642524437887309e-08,0.6606672301601243,0.5088257436254825,-6.032016934276491e-08,1.2166344456935884e-07,S16_D25 hbo,W,False,0.996946650613581,False
ch_name[S16_D26 hbo]:Condition[W],6.723674770300058e-09,4.642524437887309e-08,0.14482798874312067,0.8848466833770743,-8.426813218576182e-08,9.771548172636193e-08,S16_D26 hbo,W,False,0.996946650613581,False
ch_name[S16_D27 hbo]:Condition[W],7.331687583728628e-08,4.64252443788731e-08,1.5792458783620502,0.11427967048277989,-1.767493111877561e-08,1.6430868279334816e-07,S16_D27 hbo,W,False,0.6168129816395813,False
ch_name[S16_D32 hbo]:Condition[W],-2.2140166295120594e-08,2.756325164712549e-07,-0.0803249434376134,0.9359788203131532,-5.623699715469235e-07,5.180896389566824e-07,S16_D32 hbo,W,False,0.996946650613581,False
ch_name[S17_D13 hbo]:Condition[W],2.290803875782013e-07,4.64252443788731e-08,4.934392713341316,8.040052503063308e-07,1.3808858062213942e-07,3.2007219453426317e-07,S17_D13 hbo,W,True,0.00014793696605636486,True
ch_name[S17_D14 hbo]:Condition[W],5.79330240819876e-09,4.642524437887309e-08,0.12478776333238085,0.900691575110507,-8.519850454786312e-08,9.678510936426063e-08,S17_D14 hbo,W,False,0.996946650613581,False
ch_name[S17_D27 hbo]:Condition[W],-9.587199128847453e-08,4.642524437887309e-08,-2.0650831798766656,0.038915130627576816,-1.868637982445364e-07,-4.880184332412661e-09,S17_D27 hbo,W,True,0.4091648020270934,False
ch_name[S18_D26 hbo]:Condition[W],1.61366317848062e-08,4.64252443788731e-08,0.347583130701829,0.7281532770023568,-7.485517517125568e-08,1.0712843874086809e-07,S18_D26 hbo,W,False,0.996946650613581,False
ch_name[S18_D27 hbo]:Condition[W],-3.826109606616443e-08,4.642524437887309e-08,-0.8241442038283819,0.40985762601271747,-1.292529030222263e-07,5.2730710889897444e-08,S18_D27 hbo,W,False,0.9668436305941027,False
ch_name[S19_D33 hbo]:Condition[W],-1.9127157799690655e-08,2.7563251647125484e-07,-0.06939369144309716,0.9446762503152462,-5.593569630514935e-07,5.211026474521121e-07,S19_D33 hbo,W,False,0.996946650613581,False
ch_name[S19_D4 hbo]:Condition[W],2.601170033074856e-08,4.64252443788731e-08,0.5602921573975774,0.5752801759016377,-6.498010662531333e-08,1.1700350728681044e-07,S19_D4 hbo,W,False,0.996946650613581,False
ch_name[S19_D6 hbo]:Condition[W],-1.067406408002927e-08,4.642524437887308e-08,-0.2299193945629882,0.8181544053293492,-1.0166587103609112e-07,8.031774287603257e-08,S19_D6 hbo,W,False,0.996946650613581,False
ch_name[S19_D8 hbo]:Condition[W],5.98548126552692e-08,4.642524437887309e-08,1.2892729689648665,0.19730320492949083,-3.1136994300792677e-08,1.5084661961133107e-07,S19_D8 hbo,W,False,0.8067508823783625,False
ch_name[S1_D2 hbo]:Condition[W],-3.271534397827104e-10,4.64252443788731e-08,-0.007046886756542078,0.9943774443899862,-9.13189603958446e-08,9.066465351627918e-08,S1_D2 hbo,W,False,0.996946650613581,False
ch_name[S1_D4 hbo]:Condition[W],1.0280559961090241e-08,4.6425244378873085e-08,0.22144331384001623,0.8247472698673299,-8.071124699497163e-08,1.012723669171521e-07,S1_D4 hbo,W,False,0.996946650613581,False
ch_name[S20_D3 hbo]:Condition[W],-2.1045506079290584e-09,4.642524437887309e-08,-0.045332030796735756,0.963842656789325,-9.309635756399093e-08,8.888725634813281e-08,S20_D3 hbo,W,False,0.996946650613581,False
ch_name[S20_D5 hbo]:Condition[W],3.2428981285512496e-09,4.642524437887309e-08,0.06985204217959932,0.9443114246324534,-8.774890882751062e-08,9.423470508461312e-08,S20_D5 hbo,W,False,0.996946650613581,False
ch_name[S20_D6 hbo]:Condition[W],4.9514689754000434e-08,4.642524437887309e-08,1.066546669090519,0.28617659384382477,-4.147711720206144e-08,1.405064967100623e-07,S20_D6 hbo,W,False,0.8737080811946656,False
ch_name[S20_D7 hbo]:Condition[W],-9.115866668490747e-08,4.642524437887309e-08,-1.9635581439478946,0.049581355394037525,-1.8215047364096936e-07,-1.6685972884560185e-10,S20_D7 hbo,W,True,0.4463404872268154,False
ch_name[S21_D10 hbo]:Condition[W],-4.7767755892490445e-08,4.642524437887309e-08,-1.0289177048301827,0.30351834791161425,-1.3875956284855232e-07,4.322405106357143e-08,S21_D10 hbo,W,False,0.8881564722132452,False
ch_name[S21_D6 hbo]:Condition[W],1.7766083514485528e-10,4.642524437887309e-08,0.003826815292451192,0.996946650613581,-9.081414612091702e-08,9.116946779120673e-08,S21_D6 hbo,W,False,0.996946650613581,False
ch_name[S21_D7 hbo]:Condition[W],1.3132354231937083e-09,4.642524437887309e-08,0.028287097693584295,0.9774331710324129,-8.967857153286816e-08,9.230504237925559e-08,S21_D7 hbo,W,False,0.996946650613581,False
ch_name[S21_D8 hbo]:Condition[W],-1.0488490426310675e-08,4.642524437887308e-08,-0.22592213711822084,0.8212619799760863,-1.0148029738237252e-07,8.050331652975117e-08,S21_D8 hbo,W,False,0.996946650613581,False
ch_name[S22_D5 hbo]:Condition[W],-1.3507340187953058e-08,4.642524437887308e-08,-0.2909481763352849,0.7710909549037945,-1.044991471440149e-07,7.748446676810879e-08,S22_D5 hbo,W,False,0.996946650613581,False
ch_name[S22_D7 hbo]:Condition[W],-2.0546063150579133e-08,4.642524437887309e-08,-0.44256230474317343,0.6580823552308177,-1.11537870106641e-07,7.044574380548274e-08,S22_D7 hbo,W,False,0.996946650613581,False
ch_name[S22_D9 hbo]:Condition[W],2.436696922865956e-09,4.642524437887308e-08,0.052486464109488526,0.95814108054463,-8.855511003319589e-08,9.342850387892781e-08,S22_D9 hbo,W,False,0.996946650613581,False
ch_name[S23_D10 hbo]:Condition[W],-1.4236890296989938e-09,4.642524437887309e-08,-0.030666268939380688,0.9755356919902212,-9.241549598576087e-08,8.956811792636288e-08,S23_D10 hbo,W,False,0.996946650613581,False
ch_name[S23_D12 hbo]:Condition[W],4.707542013073776e-08,4.642524437887308e-08,1.0140047890014028,0.3105804671469997,-4.3916386825324087e-08,1.380672270867996e-07,S23_D12 hbo,W,False,0.8999497000794953,False
ch_name[S23_D8 hbo]:Condition[W],2.652591410795907e-08,4.642524437887309e-08,0.5713683247735432,0.5677499958095227,-6.44658928481028e-08,1.1751772106402095e-07,S23_D8 hbo,W,False,0.996946650613581,False
ch_name[S24_D10 hbo]:Condition[W],-3.8900473895374096e-08,4.6425244378873085e-08,-0.837916405520887,0.4020776542472966,-1.2989228085143595e-07,5.209133306068776e-08,S24_D10 hbo,W,False,0.9586907455992537,False
ch_name[S24_D11 hbo]:Condition[W],-7.58405722987038e-10,4.642524437887308e-08,-0.016336063129743453,0.9869662871582725,-9.175021267904888e-08,9.023340123307481e-08,S24_D11 hbo,W,False,0.996946650613581,False
ch_name[S24_D34 hbo]:Condition[W],1.2370285573779691e-07,2.7563251647125484e-07,0.4487963079301554,0.6535786023612373,-4.1652694951400594e-07,6.639326609895997e-07,S24_D34 hbo,W,False,0.996946650613581,False
ch_name[S24_D7 hbo]:Condition[W],-9.692815345264774e-09,4.642524437887308e-08,-0.20878329182636943,0.8346174150935858,-1.0068462230132662e-07,8.129899161079707e-08,S24_D7 hbo,W,False,0.996946650613581,False
ch_name[S24_D9 hbo]:Condition[W],-3.5636648761945083e-08,4.6425244378873085e-08,-0.7676135955498037,0.44271678281890825,-1.2662845571800693e-07,5.5355158194116776e-08,S24_D9 hbo,W,False,0.9860680485636177,False
ch_name[S25_D11 hbo]:Condition[W],2.0453181887513366e-08,4.642524437887309e-08,0.4405616418644222,0.6595303773796239,-7.053862506854851e-08,1.1144498884357524e-07,S25_D11 hbo,W,False,0.996946650613581,False
ch_name[S25_D12 hbo]:Condition[W],3.3387692272902814e-08,4.6425244378873085e-08,0.7191710613395647,0.4720355274596897,-5.7604114683159045e-08,1.2437949922896467e-07,S25_D12 hbo,W,False,0.9860680485636177,False
ch_name[S25_D13 hbo]:Condition[W],-4.099047003984413e-09,4.64252443788731e-08,-0.08829349331007036,0.9296434103462187,-9.50908539600463e-08,8.689275995207747e-08,S25_D13 hbo,W,False,0.996946650613581,False
ch_name[S25_D14 hbo]:Condition[W],3.437663851061948e-08,4.642524437887309e-08,0.740472968328916,0.45901305751156074,-5.661516844544239e-08,1.2536844546668137e-07,S25_D14 hbo,W,False,0.9860680485636177,False
ch_name[S25_D35 hbo]:Condition[W],-7.565195281594383e-08,2.756325164712548e-07,-0.2744667203436915,0.783725975268867,-6.158817580677465e-07,4.645778524358589e-07,S25_D35 hbo,W,False,0.996946650613581,False
ch_name[S26_D12 hbo]:Condition[W],9.494305218458551e-08,4.642524437887309e-08,2.0450738268551065,0.04084758019885985,3.951245228523635e-09,1.8593485914064738e-07,S26_D12 hbo,W,True,0.41755304203278953,False
ch_name[S26_D13 hbo]:Condition[W],-1.3752866352419114e-07,4.642524437887309e-08,-2.9623681116641967,0.003052825646250278,-2.28520470480253e-07,-4.6536856568129266e-08,S26_D13 hbo,W,True,0.08038694116722493,False
ch_name[S2_D1 hbo]:Condition[W],-3.752753051985947e-08,4.642524437887309e-08,-0.8083431982306863,0.4188930411355498,-1.2851933747592134e-07,5.3464276436202403e-08,S2_D1 hbo,W,False,0.9756403157255693,False
ch_name[S2_D2 hbo]:Condition[W],1.719515037021261e-09,4.6425244378873105e-08,0.0370383626414203,0.9704544177488293,-8.927229191904064e-08,9.271132199308316e-08,S2_D2 hbo,W,False,0.996946650613581,False
ch_name[S2_D28 hbo]:Condition[W],-3.245868588408732e-07,2.756325164712549e-07,-1.1776072830460977,0.2389532050221741,-8.648166640926762e-07,2.156429464109297e-07,S2_D28 hbo,W,False,0.8737080811946656,False
ch_name[S2_D3 hbo]:Condition[W],4.323327584772795e-08,4.64252443788731e-08,0.9312449816075125,0.3517268546457648,-4.7758531108333936e-08,1.3422508280378983e-07,S2_D3 hbo,W,False,0.9061159012640561,False
ch_name[S3_D2 hbo]:Condition[W],4.9885277197044155e-08,4.642524437887309e-08,1.0745291244981714,0.2825855985661261,-4.110652975901772e-08,1.4087708415310603e-07,S3_D2 hbo,W,False,0.8737080811946656,False
ch_name[S3_D3 hbo]:Condition[W],3.1865172458269133e-08,4.642524437887308e-08,0.6863759767901221,0.49247604939863365,-5.912663449779271e-08,1.2285697941433099e-07,S3_D3 hbo,W,False,0.996946650613581,False
ch_name[S3_D4 hbo]:Condition[W],6.291401622801774e-09,4.642524437887309e-08,0.13551682294783624,0.8922032641609339,-8.47004053332601e-08,9.728320857886365e-08,S3_D4 hbo,W,False,0.996946650613581,False
ch_name[S3_D6 hbo]:Condition[W],9.30269928924744e-08,4.642524437887309e-08,2.003801899959595,0.04509128524312239,2.0351859364125264e-09,1.8401879984853629e-07,S3_D6 hbo,W,True,0.4257276005292554,False
ch_name[S4_D1 hbo]:Condition[W],-7.926881939775771e-08,4.6425244378873085e-08,-1.707450772921098,0.08773830013888924,-1.7026062635381957e-07,1.172298755830415e-08,S4_D1 hbo,W,False,0.5612568721995902,False
